time,2022-01-02 00:00:00
x coordinate,y coordinate,water depth (m)
317900.54,8975349.99,24.225867727687
317910.621310837,8975341.3049643,23.8088177166321
317935.918081633,8975319.51183035,21.9813341430732
317959.857724609,8975298.88786019,20.9606288100469
317982.545069915,8975279.34274279,17.8977060367024
318004.94176747,8975260.04801803,13.1671303148181
318027.114496147,8975240.94624216,8.20836032612238
318049.131058384,8975221.97900346,3.21815511309699
318071.053881646,8975203.09252077,1.84330473318
318092.934519464,8975184.24238077,4.72037634167613
318114.824666549,8975165.38404856,7.06361921377807
318136.787014797,8975146.46351514,6.14790503213216
318158.876542427,8975127.43341686,2.4120130099536
318181.149473609,8975108.24531667,0.00128028355891868
318203.662269925,8975088.85057298,0.000687911127384594
318226.473500276,8975069.19872878,0.186607212716107
318249.651968333,8975049.23050978,0.313713567684591
318273.267151092,8975028.88606166,0.557266026392126
318297.398802745,8975008.09667629,0.823194859312803
318322.1390277,8974986.78300583,1.5487801106946
318347.593777687,8974964.85377302,2.63683617482375
318353.933452505,8974959.39215171,2.87140539092385
318364.29,8974950.47,3.27017478941979
