time,2022-01-02 00:00:00
x coordinate,y coordinate,water depth (m)
314305.94,8973899.3,5.2104918999586
314307.834027548,8973897.35509024,5.22670421758333
314345.925463345,8973858.24034479,5.48023895706303
314383.75127802,8973819.39835625,8.5273210170467
314403.057819507,8973799.57315303,12.4847860265549
314421.297698731,8973780.84326748,16.3002808799577
314458.582579951,8973742.55674434,23.7921566498384
314495.656846594,8973704.48649384,26.0584704969498
314532.536880959,8973666.61569359,25.8910870258291
314569.243399583,8973628.92307051,23.3501060337016
314605.794342621,8973591.39020247,18.9978612131185
314642.20872014,8973553.99756873,15.9028454003194
314678.823159,8973516.39949909,13.9716749477066
314695.498480455,8973499.27620247,13.4076485157554
314716.804198502,8973477.39811569,12.6667010577393
314755.597552888,8973437.56259491,11.5516313056641
314793.717597207,8973398.41847239,10.8540413299781
314831.204443572,8973359.9245584,10.7186086790735
314868.169043535,8973321.96692073,10.8019091783524
314904.723633294,8973284.43030801,10.8081068086783
314940.963996839,8973247.21636305,10.6146365511814
314976.993893706,8973210.21853887,10.3134841572278
315012.91423075,8973173.33321778,10.0011853198714
315048.81258064,8973136.47047453,9.73458797694395
315084.784226673,8973099.53246606,9.39921200324287
315120.932071996,8973062.41352479,9.05157589884997
315157.355954561,8973025.01113065,8.76456906941895
315194.159529908,8972987.21884345,8.62037460964328
315231.442979334,8972948.93379057,9.04953552745554
315269.317742162,8972910.04153892,9.75702655028038
315307.908824833,8972870.4137238,9.2654085671802
315347.341564194,8972829.92164126,8.09799304432626
315387.756933461,8972788.42053089,8.01813090390388
315428.845466478,8972746.22817252,7.94641552342774
315474.757178065,8972699.08306301,7.75048054784795
315525.092512146,8972647.39549234,8.54571561641102
315576.010894538,8972595.10921002,9.79294423217057
315628.567565257,8972541.14062748,8.57988383868249
315682.619024708,8972485.63709937,7.17534323816635
315737.990652818,8972428.77793685,8.00073082742347
315794.484973772,8972370.76592083,9.19452944822414
315851.890354308,8972311.81837002,10.4292191281721
315909.986737089,8972252.16125349,10.1405423897492
315968.537537945,8972192.03751115,10.4161334346176
315993.485052348,8972166.41979275,9.31790309536382
316027.262232397,8972131.73520363,7.78830784837513
316050.99,8972107.37,6.01912756331323
