time,2022-01-02 00:00:00
x coordinate,y coordinate,water depth (m)
318774.97,8977736.44,4.90705623176919
318777.973591509,8977690.83198527,10.3072317553281
318778.747027037,8977679.0877588,11.4636724608204
318783.442580563,8977607.78815841,14.2937680075766
318785.511322745,8977576.37535689,15.5235386618404
318788.200732477,8977535.53803322,18.2050432633171
318792.981388788,8977462.94619017,23.6335472817892
318793.030630278,8977462.1984831,23.6682722410914
318797.925106084,8977387.87834871,22.2016969086107
318800.243227138,8977352.67885542,20.6814493883176
318802.895771731,8977312.4013102,17.7118211268136
318807.311098212,8977245.35681545,13.9187188357568
318807.942973933,8977235.7621029,13.3630364905654
318813.115248794,8977157.22373065,13.035947924639
318814.071128796,8977142.70917729,13.0258678838725
318818.453049028,8977076.17193951,12.9810075852438
318820.520229884,8977044.78284594,12.6616033076132
318823.962826662,8976992.50875872,11.7639763527715
318826.694093024,8976951.03586333,11.3289139421839
318829.670883138,8976905.83481422,10.96382363371
318832.616105648,8976861.11310316,10.8343575359642
318835.592684245,8976815.91526582,10.3236087847302
318838.308196585,8976774.68158726,9.58876565722801
318841.723233677,8976722.82597991,6.16313172347483
318842.94,8976704.35,4.6120798896399
