time,2022-01-02 00:00:00
x coordinate,y coordinate,water depth (m)
316899.1,8974072,11.5846466166525
316906.300118131,8974054.59494472,11.8670699773471
316916.604380858,8974029.6861503,14.8174887292814
316926.600736223,8974005.52166931,17.9284013864305
316947.449269235,8973955.12390321,26.5895421994858
316968.858494144,8973903.37076025,30.1740711548603
316975.173715721,8973888.10479119,29.9176238794548
316990.842303255,8973850.22865816,29.5621324309525
317013.394997833,8973795.71137266,24.2055111020134
317028.853145484,8973758.3439421,22.6352304978982
317036.522551366,8973739.80446387,22.5325633466419
317060.229175633,8973682.49775053,26.805163800891
317078.482937878,8973638.37239938,31.2869786376759
317084.48004127,8973623.87542667,32.577796655987
317109.24837148,8973564.00222063,37.4196545547735
317124.823769918,8973526.35135632,38.369887270315
317134.463648808,8973503.04859629,38.9598115426774
317160.057295787,8973441.18032799,36.0777975307516
317168.675207532,8973420.34799891,34.5423975813292
317185.914281332,8973378.67548369,31.3650512166428
317210.758076524,8973318.61985395,24.0268961101931
317211.925556515,8973315.79767056,23.6148084492751
317237.930787951,8973252.93446716,13.7691502723299
317251.735186389,8973219.56469273,9.59313268868171
317263.847541204,8973190.28514464,6.99842641469777
317289.630906173,8973127.95826551,5.47934351328019
317292.485702162,8973121.05728401,5.44407140464781
317314.243040755,8973068.4626357,5.25249157678655
317333.333661762,8973022.31432149,4.34530244452861
317337.074509266,8973013.27146186,4.04298944904372
317358.677620977,8972961.04963069,1.67871742823186
317374.935812436,8972921.74823092,0.5881814487086
317379.977434956,8972909.56096995,0.382031760745137
317400.994239837,8972858.75643536,0.302262181548542
317417.314020524,8972819.30615416,0.371090924713209
317421.758492407,8972808.56240282,0.399379666164817
317442.400231273,8972758.66452623,0.48669873706988
317459.938802901,8972716.26802618,0.500080135789166
317462.829468308,8972709.2803365,0.497747766173803
317483.324308439,8972659.7375625,0.492076283434883
317502.643103664,8972613.0376761,0.4842581499177
317504.008332814,8972609.73746791,0.483205732786387
317524.870047377,8972559.30783766,0.401142808205367
317533.32705693,8972538.86446214,0.239813851054052
