time,2022-01-02 00:00:00
x coordinate,y coordinate,water depth (m)
317185.8,8975477,2.22708157757814
317188.739842007,8975474.64871569,2.42404875709968
317216.259433997,8975452.63855843,3.00309054097465
317243.750129053,8975430.65151292,3.7266895560104
317271.2137682,8975408.68610672,5.18458634392419
317298.66431149,8975386.73117457,6.34606574964623
317326.119327466,8975364.77266518,6.83039918141754
317353.581681307,8975342.80828696,7.30033576490118
317381.069939996,8975320.82319006,8.14772034805807
317408.597062853,8975298.80700962,9.37005843062116
317436.171679811,8975276.75284341,10.3575968402472
317463.815831185,8975254.64306361,11.3017731591913
317491.543458781,8975232.46651956,12.3931267098132
317519.371782749,8975210.2094386,13.4909900759154
317547.308942357,8975187.86531095,14.5706325986669
317575.375226361,8975165.41790966,15.589679740051
317603.595557949,8975142.84730119,16.2474550686418
317631.990415609,8975120.13710683,16.5129950607079
317660.589460189,8975097.26360388,18.5233304548425
317689.269990202,8975074.32492891,21.5492181082715
317716.669419791,8975052.41087748,21.9177620720032
317742.369496227,8975031.85596794,19.0659489846698
317767.463383989,8975011.78588782,15.8802517947574
317773.899679681,8975006.63814143,15.6252082143853
317792.319730785,8974991.90579287,15.0285580831062
317817.00746379,8974972.16055514,17.4072035919187
317841.590266094,8974952.49924095,21.8526534485924
317866.120509498,8974932.87996334,24.4477581466527
317890.638044559,8974913.27084985,24.530531635001
317915.184175633,8974893.63886529,23.9930375532011
317939.814361587,8974873.93965367,23.1013729673078
317964.576816306,8974854.13465356,20.5941383922158
317968.78843394,8974850.76620367,20.0475910837085
317989.512623352,8974834.19100633,17.2821833272384
318014.674094202,8974814.06687329,14.6606101684019
318040.112451943,8974793.72128624,12.6664677922258
318065.887515835,8974773.10640177,10.9172456248832
318092.059543584,8974752.17402578,9.09867665246559
318118.698838082,8974730.86793005,7.86213884608888
318145.888298895,8974709.12181156,7.21672687174117
318173.725024181,8974686.85801123,6.98662752354308
318202.422322386,8974663.90592507,6.99143470239527
318234.041587033,8974638.61685146,7.19523564407158
318268.282926915,8974611.23064327,8.48468076826741
318302.813731426,8974583.61292139,11.5045969452513
318337.480236186,8974555.88666652,16.049168455114
318372.267979235,8974528.06344532,20.717385405233
318407.150244029,8974500.16462567,24.0446908046743
318442.096205705,8974472.21486128,26.1852808005731
318461.039195248,8974457.06426679,26.6784903095848
318477.073033309,8974444.24041034,27.1004961172022
318512.037288806,8974416.27601457,25.9912587653539
318546.93608615,8974388.36397219,23.4954813475404
318581.730884163,8974360.53510843,21.3644290455632
318616.393903706,8974332.81164104,20.2752878230831
318650.882944725,8974305.22732158,19.7509178932965
318685.128538339,8974277.83771126,19.1308517215539
318719.057579319,8974250.70127958,17.9393999445913
318752.599948486,8974223.87410785,16.3793240006862
318785.688308924,8974197.4100521,14.9683162981111
318818.262299234,8974171.35738934,13.8942313190889
318822.522856767,8974167.94979734,13.8256465960675
318850.294418055,8974145.73811515,13.4394986128749
318881.481733531,8974120.7945143,13.4857208466344
318912.925194359,8974095.64604851,13.8355733069045
318944.528722652,8974070.36956084,13.8237367835257
318975.144362198,8974045.88318613,12.4146431825267
319005.112932242,8974021.91433733,7.30201063276846
319034.55098201,8973998.3697984,1.60295427499297
319063.577376629,8973975.15450108,0.32344440374852
319092.300358075,8973952.18187347,0.316926766860019
319120.824230184,8973929.36849342,0.336188705473508
319143.694957582,8973911.07649597,0.371727396895205
319149.259113444,8973906.62628662,0.381402547586478
319177.718836381,8973883.86421305,0.421053593287724
319181.3,8973881,0.419925599866677
