time,2022-01-02 00:00:00
x coordinate,y coordinate,water depth (m)
314265.94,8973859.3,5.19915464470352
314294.083013687,8973830.40093664,5.36691038532357
314332.210092356,8973791.24959079,8.44210308657633
314370.07650533,8973752.3659133,16.3374462711487
314407.707385329,8973713.72409628,23.0943804621597
314445.118969428,8973675.30746644,25.149264529714
314482.327743935,8973637.09909459,24.9739189390995
314516.048851689,8973602.47208412,23.0155365335498
314519.347131932,8973599.08519703,22.8194517850839
314556.125105239,8973561.31919966,18.8481052174762
314592.751979051,8973523.70836101,15.8545452822321
314629.701606149,8973485.76609845,13.9013839177186
314668.172210641,8973446.2619981,12.6006242028785
314707.550926685,8973405.82539019,11.5453518689294
314746.308021026,8973366.02710357,10.9335267464982
314784.39813907,8973326.91371127,10.8071811342737
314821.935594497,8973288.36782863,10.8722119004426
314859.035759407,8973250.27098412,10.8709364534459
314892.843335873,8973215.555182,10.6942404421049
314895.794316516,8973212.52492456,10.6787920096918
314932.29411287,8973175.04457725,10.3876461660329
314968.671895324,8973137.68952168,10.0605088929388
315005.016462024,8973100.3685742,9.78615570148134
315041.424228795,8973062.9827288,9.45786452680173
315077.999168043,8973025.42521991,9.09667139284343
315114.841953626,8972987.59266911,8.78563504742135
315152.056933477,8972949.37792521,8.6073907189049
315189.744883298,8972910.67750521,9.0147848289608
315228.01757878,8972871.37663062,9.69287633331317
315267.000218755,8972831.34673918,8.89141117578431
315306.81819463,8972790.45907091,7.66248638079888
315347.612538468,8972748.56880499,7.84296843932305
315389.094626193,8972705.97231924,7.92169008476018
315435.618845571,8972658.19824719,7.88956327360065
315486.722482153,8972605.72173391,8.72052861840968
315538.361122753,8972552.69584396,9.32763709393227
315591.633051128,8972497.99278868,8.018285501267
315646.394550931,8972441.7601453,7.14721837913417
315702.469189706,8972384.17908604,8.02938057633072
315712.024501832,8972374.36707466,8.26343496938411
315759.629465346,8972325.48322476,9.45176855424231
315817.676666363,8972265.87661124,10.5770489509538
315876.394218852,8972205.58163755,10.1071340788582
315935.543977572,8972144.8428466,10.6751775932588
315994.876507845,8972083.91637403,7.88217053855917
316010.99,8972067.37,6.42595999711338
