time,2022-01-02 00:00:00
x coordinate,y coordinate,water depth (m)
316384.94,8973217.94,19.9639537231446
316440.283824237,8973252.38315037,25.473326802273
316447.761197427,8973257.03668295,26.2082481309596
316511.086235656,8973296.4469305,30.612912525772
316579.557636095,8973339.06000927,32.9079502394744
316593.326340741,8973347.62894304,33.0168284546722
316645.645963461,8973380.18998589,33.52783778639
316709.099213038,8973419.68002559,34.0351114190699
316735.086214657,8973435.85299912,34.1066589577454
316770.344306062,8973457.79582221,34.3113338769882
316829.998266086,8973494.92137946,33.8129175353053
316872.119480274,8973521.13545725,32.0940257264121
316889.034649229,8973531.66258862,31.4182217375347
316948.625900715,8973568.74911929,26.4325389080566
317001.353473599,8973601.56404935,23.2830205603582
317008.924188948,8973606.27567329,23.3104148040028
317070.11239714,8973644.35606771,29.8211577193851
317121.215563571,8973676.16005072,36.311942668985
317131.730859838,8973682.70423041,37.5285233731028
317193.947003177,8973721.4243588,42.7078613250738
317232.462292172,8973745.39429418,44.8064725900137
317256.443917529,8973760.31922464,44.8062664824276
317319.190361999,8973799.36938519,41.6770840937764
317336.698655071,8973810.26564651,40.3719202004436
317382.037226093,8973838.48204175,36.3837903362065
317435.784228452,8973871.9314123,26.6071216136941
317444.600822059,8973877.4184068,25.1263719607248
317506.762541152,8973916.10466434,21.7407261597018
317531.46803229,8973931.48009165,24.2701935250022
317567.909514061,8973954.15939604,26.9059842475607
317624.251680456,8973989.22386323,27.8291518678206
317627.667788456,8973991.34987319,27.6076029287725
317686.863259643,8974028.19009057,24.839953572645
317714.150243361,8974045.17210611,25.4688388674236
317746.705524297,8974065.43283894,25.9511870771046
317800.943519105,8974099.18777793,25.1065924033605
317807.880364752,8974103.50491396,24.9158069979821
317870.399577443,8974142.41365714,26.4084317400371
317886.328196372,8974152.3268105,26.9675405562751
317934.150500666,8974182.08895362,29.1293593581537
317972.478501723,8974205.94233061,29.7485620120481
317999.241275446,8974222.5981048,30.3618377684178
318059.655732737,8974260.19695645,29.6915732538574
318065.791750526,8974264.0156984,29.5943585792915
318133.833658134,8974306.36148291,28.2076486592363
318144.450424145,8974312.96881215,28.1572115455052
318203.207673337,8974349.53630269,27.3456073140235
318226.524484524,8974364.047487,27.4052147870543
318273.6608436,8974393.38273309,26.8006961905713
318306.828251925,8974414.02442253,26.9417555919126
318344.909732126,8974437.72437761,26.1982075539629
318386.145090154,8974463.38714409,25.8543236604464
318416.632318328,8974482.36082722,25.1516209314104
318465.114281436,8974512.53350806,24.3359479381283
318488.563248704,8974527.12693952,23.5040923794185
318544.200909748,8974561.75295881,21.7641434947341
318560.508051638,8974571.90168539,21.1588019717946
318623.686528518,8974611.2207207,21.1591312051859
318632.343341047,8974616.60827567,21.23148541243
318703.684947739,8974661.00762322,21.3562219984593
318703.999408042,8974661.20332714,21.3526897220185
318775.478839443,8974705.6884497,20.5372521280003
318784.22050938,8974711.12881557,20.5133968626787
318846.809481089,8974750.08097317,19.8438799687811
318865.074494374,8974761.44817823,19.703929966155
318918.047175716,8974794.41565119,18.9507316932443
318945.933019506,8974811.77036644,18.6594596785652
318989.306371372,8974838.76371034,18.1556776372187
319026.38327745,8974861.83847015,18.1466330316823
319060.774782259,8974883.2419743,18.4650002653266
319106.029625658,8974911.40626178,19.2010281415081
319132.69854801,8974928.00362771,19.3578317586895
319184.556529461,8974960.27736877,19.7711633660653
319205.244544321,8974973.15252542,20.6965543636428
319261.745902341,8975008.3160653,26.4557378181422
319278.471985967,8975018.72551967,28.586197759035
319337.581826139,8975055.51244471,24.0179881187451
319353.572542784,8975065.46424449,22.0015450866025
319412.005150422,8975101.82969482,13.8105805559366
319427.928313083,8975111.73945247,11.6392793945524
319483.75,8975146.48,11.0315154407762
